Interaction_ID,User_ID,Category_Type,Category_Value,Strength,Timestamp
1,86,Star,K,4,2025-12-05 18:42:31.865100
2,50,Planet,Terrestrial,1,2025-11-28 04:57:19.070873
3,96,Planet,Dwarf Planet,1,2025-12-04 01:06:16.214604
4,54,Planet,Ice Giant,3,2025-11-20 07:14:48.239208
5,22,Planet,Ice Giant,5,2025-11-14 01:40:03.455302
6,35,Planet,Ice Giant,2,2025-12-01 04:21:19.584502
7,25,Star,B,4,2025-12-05 08:54:21.193153
8,75,Star,A,4,2025-11-18 02:15:05.960719
9,92,Planet,Terrestrial,3,2025-11-26 16:32:33.833244
10,8,Planet,Gas Giant,4,2025-12-07 22:56:32.822341
11,67,Planet,Terrestrial,1,2025-11-21 18:50:33.683436
12,69,Star,F,5,2025-12-03 00:49:45.966382
13,99,Moon,Earth,4,2025-12-02 07:39:42.458023
14,32,Star,A,2,2025-12-04 16:32:54.008194
15,51,Star,B,4,2025-12-07 00:57:38.317519
16,21,Planet,Dwarf Planet,3,2025-11-17 16:50:19.794216
17,95,Star,G,1,2025-11-05 08:20:41.325287
18,89,Star,G,5,2025-12-06 03:23:30.170465
19,72,Planet,Gas Giant,5,2025-11-20 12:38:33.126170
20,85,Moon,Earth,2,2025-11-21 22:00:07.868473
21,3,Planet,Dwarf Planet,4,2025-12-06 13:09:49.519956
22,37,Star,M,5,2025-11-25 13:24:03.520944
23,58,Star,K,4,2025-11-23 22:08:25.979252
24,26,Star,F,5,2025-11-20 05:24:37.122798
25,53,Planet,Terrestrial,3,2025-12-01 16:04:16.548432
26,82,Moon,Pluto,3,2025-12-01 00:47:35.429046
27,10,Star,F,5,2025-11-30 11:39:48.337391
28,47,Planet,Terrestrial,1,2025-12-02 04:09:57.019689
29,43,Planet,Dwarf Planet,5,2025-12-08 12:49:39.179080
30,68,Star,M,4,2025-12-07 08:43:45.875466
31,59,Moon,Eris,4,2025-11-24 08:43:25.777658
32,32,Star,M,4,2025-12-01 05:20:06.046263
33,69,Star,B,2,2025-12-04 05:18:53.228002
34,22,Star,M,5,2025-12-08 15:02:11.124064
35,6,Star,B,3,2025-11-29 18:50:10.211192
36,14,Star,A,3,2025-12-05 13:32:35.790243
37,81,Star,B,4,2025-12-01 17:01:55.367674
38,100,Star,K,5,2025-12-08 01:15:19.409555
39,74,Star,K,5,2025-12-06 07:10:46.334401
40,100,Star,M,3,2025-12-06 23:52:11.436543
41,24,Star,F,3,2025-11-17 13:51:31.289230
42,19,Moon,Eris,5,2025-12-08 08:21:23.826144
43,52,Star,A,5,2025-11-05 23:56:39.466163
44,32,Star,M,5,2025-12-06 19:08:57.698669
45,15,Planet,Dwarf Planet,3,2025-12-07 18:12:12.844074
46,38,Moon,Neptune,1,2025-11-25 10:07:04.266543
47,92,Moon,Eris,3,2025-12-04 23:13:56.083633
48,43,Star,G,4,2025-11-15 10:05:50.621657
49,64,Star,M,5,2025-11-29 05:58:46.285373
50,76,Planet,Terrestrial,5,2025-12-06 22:40:03.026580
51,56,Moon,Haumea,3,2025-12-07 13:05:37.380342
52,9,Planet,Dwarf Planet,2,2025-12-05 10:31:16.461425
53,56,Planet,Terrestrial,2,2025-11-21 08:04:28.859131
54,65,Star,F,5,2025-12-08 08:54:47.575810
55,84,Star,F,1,2025-12-06 23:36:53.984607
56,44,Moon,Jupiter,3,2025-12-07 17:09:39.951749
57,91,Planet,Gas Giant,1,2025-12-03 20:37:36.583751
58,71,Star,F,4,2025-12-05 14:53:22.769994
59,49,Planet,Gas Giant,1,2025-11-07 11:27:35.885234
60,14,Star,A,4,2025-12-07 04:44:17.120328
61,5,Moon,Makemake,2,2025-12-08 17:21:56.913051
62,99,Moon,Earth,4,2025-12-06 23:28:36.602403
63,26,Star,A,3,2025-12-02 05:29:59.399605
64,7,Planet,Gas Giant,2,2025-11-30 15:33:10.645806
65,94,Star,M,3,2025-10-30 21:02:51.332976
66,75,Star,A,5,2025-12-06 17:00:48.952414
67,32,Planet,Ice Giant,5,2025-12-05 02:15:57.061244
68,96,Moon,Eris,2,2025-12-07 13:06:42.111826
69,92,Moon,Neptune,4,2025-11-21 10:22:30.826927
70,99,Moon,Neptune,4,2025-11-20 20:07:45.731295
71,29,Star,F,2,2025-11-19 01:32:54.568615
72,75,Planet,Dwarf Planet,4,2025-12-01 21:11:15.886945
73,75,Planet,Gas Giant,3,2025-11-30 14:48:03.590057
74,5,Planet,Gas Giant,4,2025-11-28 04:00:53.349842
75,84,Planet,Terrestrial,4,2025-12-01 18:21:49.090209
76,89,Planet,Gas Giant,4,2025-12-07 09:17:43.735386
77,78,Star,K,3,2025-12-06 09:37:11.249065
78,92,Planet,Ice Giant,3,2025-12-08 07:21:42.619081
79,25,Planet,Ice Giant,4,2025-11-30 14:15:58.779716
80,29,Moon,Pluto,1,2025-12-08 04:30:30.550843
81,40,Star,F,4,2025-11-28 06:13:02.375470
82,27,Star,A,4,2025-11-30 01:50:55.398982
83,17,Planet,Gas Giant,2,2025-11-29 01:41:03.089322
84,47,Star,O,3,2025-12-03 22:09:02.989662
85,26,Planet,Dwarf Planet,5,2025-12-06 18:00:39.777655
86,87,Star,B,2,2025-12-02 00:52:16.181495
87,100,Planet,Dwarf Planet,4,2025-11-18 22:09:36.256671
88,25,Moon,Earth,5,2025-12-07 19:19:49.331984
89,42,Moon,Neptune,3,2025-11-21 04:39:13.393233
90,81,Planet,Terrestrial,5,2025-11-20 21:42:28.754073
91,15,Star,K,3,2025-11-18 08:38:48.850511
92,19,Moon,Jupiter,2,2025-11-30 18:16:05.697037
93,34,Star,F,5,2025-11-25 11:23:14.090396
94,17,Star,F,4,2025-11-09 04:51:41.615960
95,56,Star,O,2,2025-11-30 06:29:51.289007
96,82,Star,M,1,2025-11-28 12:59:53.202966
97,29,Planet,Ice Giant,5,2025-12-04 18:48:45.145991
98,87,Moon,Neptune,5,2025-12-01 14:10:09.151234
99,81,Planet,Gas Giant,5,2025-11-07 02:50:28.202775
100,63,Star,M,5,2025-11-01 00:35:25.974750
101,38,Planet,Gas Giant,2,2025-12-04 13:14:26.582880
102,9,Planet,Gas Giant,2,2025-11-17 20:33:17.721651
103,31,Star,A,3,2025-11-29 08:54:11.357720
104,71,Star,F,3,2025-12-04 00:00:32.105051
105,79,Planet,Dwarf Planet,2,2025-12-04 20:39:13.986287
106,48,Star,M,3,2025-11-26 20:37:02.537928
107,12,Star,F,4,2025-12-01 11:48:53.128410
108,77,Star,M,2,2025-12-08 12:19:25.925246
109,30,Star,K,5,2025-11-30 04:13:31.840481
110,54,Star,F,5,2025-12-08 21:21:07.664185
111,60,Star,B,3,2025-10-31 11:27:14.155314
112,21,Star,M,4,2025-11-01 00:51:23.832042
113,97,Planet,Ice Giant,3,2025-11-20 00:03:47.968332
114,93,Star,M,4,2025-12-01 20:53:05.760320
115,72,Star,B,3,2025-11-19 13:57:00.200479
116,32,Star,A,3,2025-11-15 10:17:09.418947
117,58,Moon,Mars,1,2025-11-19 19:22:50.948708
118,51,Star,B,4,2025-12-05 06:19:59.108738
119,48,Planet,Gas Giant,4,2025-12-01 15:16:41.485613
120,3,Planet,Dwarf Planet,5,2025-12-07 04:24:38.917286
121,85,Star,M,2,2025-12-04 13:45:13.237200
122,60,Moon,Haumea,5,2025-11-27 20:22:14.138285
123,77,Star,F,5,2025-11-21 15:36:11.050567
124,71,Planet,Ice Giant,5,2025-12-05 18:16:46.284320
125,8,Star,B,5,2025-12-08 00:50:54.011935
126,41,Planet,Terrestrial,5,2025-11-23 22:46:22.494509
127,97,Star,K,3,2025-12-07 13:00:41.574710
128,38,Star,O,3,2025-11-29 19:14:10.232619
129,68,Star,M,3,2025-12-01 02:13:52.239230
130,33,Moon,Haumea,5,2025-12-02 23:03:05.244757
131,28,Star,B,3,2025-11-28 03:14:54.043193
132,21,Planet,Ice Giant,3,2025-12-07 09:22:23.790560
133,100,Star,K,5,2025-12-03 03:41:42.067619
134,72,Star,B,4,2025-10-27 14:49:57.900354
135,90,Planet,Ice Giant,3,2025-11-20 12:43:09.820654
136,79,Planet,Terrestrial,1,2025-11-26 02:16:24.952022
137,57,Planet,Terrestrial,3,2025-12-08 19:43:42.839051
138,92,Planet,Dwarf Planet,3,2025-10-24 14:38:50.176645
139,42,Planet,Dwarf Planet,3,2025-11-25 06:11:35.674346
140,33,Moon,Haumea,3,2025-12-07 21:33:36.459289
141,12,Star,F,5,2025-11-03 10:51:03.238004
142,11,Planet,Terrestrial,3,2025-11-29 08:31:44.751733
143,68,Moon,Earth,4,2025-12-06 00:23:22.843497
144,45,Planet,Dwarf Planet,4,2025-12-07 16:41:06.035836
145,66,Star,M,5,2025-11-28 14:08:13.785684
146,58,Moon,Haumea,3,2025-11-15 17:23:46.159076
147,80,Planet,Gas Giant,2,2025-11-03 05:35:03.221157
148,68,Moon,Mars,1,2025-11-14 22:49:30.847936
149,66,Planet,Ice Giant,3,2025-12-07 01:27:39.802106
150,86,Star,F,4,2025-11-30 19:01:50.499801
151,83,Star,F,2,2025-10-25 00:02:50.177644
152,83,Planet,Ice Giant,4,2025-11-07 01:41:29.400696
153,22,Planet,Ice Giant,4,2025-11-26 01:35:00.883660
154,4,Planet,Terrestrial,5,2025-12-01 16:34:49.651468
155,97,Planet,Ice Giant,3,2025-11-01 08:09:38.697893
156,34,Star,O,5,2025-12-01 22:46:49.727036
157,69,Planet,Dwarf Planet,2,2025-11-28 17:43:29.416957
158,53,Moon,Mars,2,2025-11-22 06:05:10.948977
159,52,Planet,Dwarf Planet,5,2025-11-25 23:17:09.096547
160,100,Star,K,4,2025-11-27 20:16:46.596340
161,17,Planet,Dwarf Planet,4,2025-11-26 13:28:45.941428
162,55,Planet,Dwarf Planet,5,2025-12-01 18:13:39.653543
163,42,Planet,Ice Giant,2,2025-11-21 01:08:32.849135
164,32,Planet,Ice Giant,2,2025-11-24 01:26:30.628549
165,88,Moon,Earth,5,2025-12-05 00:27:32.276156
166,38,Planet,Dwarf Planet,5,2025-12-01 03:07:32.103364
167,86,Star,A,2,2025-12-06 01:50:49.803911
168,80,Moon,Haumea,3,2025-12-07 10:00:57.608695
169,63,Star,M,4,2025-11-18 21:33:20.303950
170,84,Star,F,2,2025-11-29 01:43:38.586578
171,26,Planet,Dwarf Planet,4,2025-12-07 05:09:58.283028
172,38,Moon,Neptune,5,2025-12-06 09:38:35.042772
173,45,Planet,Terrestrial,4,2025-11-30 16:44:04.176320
174,12,Star,B,5,2025-12-06 17:59:21.688115
175,63,Star,B,5,2025-12-01 09:08:29.123242
176,60,Planet,Ice Giant,5,2025-12-04 20:35:28.018770
