Interaction_ID,User_ID,Category_Type,Category_Value,Strength,Timestamp
1,50,Star,M,1,2025-11-30 02:02:11.902417
2,74,Star,A,5,2025-12-06 20:59:09.242640
3,24,Moon,Saturn,2,2025-10-26 01:39:58.938016
4,101,Planet,Dwarf Planet,3,2025-11-10 03:54:02.183020
5,110,Star,M,1,2025-11-25 05:24:18.392856
6,30,Planet,Terrestrial,1,2025-11-28 21:02:10.278934
7,80,Moon,Mars,3,2025-10-15 04:29:29.641832
8,82,Planet,Dwarf Planet,5,2025-12-06 19:55:31.889258
9,30,Moon,Saturn,2,2025-12-03 16:37:14.480889
10,102,Star,G,2,2025-11-27 22:29:40.189402
11,32,Moon,Mars,4,2025-12-01 00:34:38.912650
12,118,Star,A,4,2025-11-30 16:01:35.659818
13,97,Moon,Makemake,4,2025-11-09 16:59:40.702203
14,71,Moon,Uranus,5,2025-11-26 14:33:23.786838
15,32,Moon,Mars,1,2025-12-09 04:06:11.117360
16,25,Star,M,5,2025-11-27 16:52:47.458004
17,60,Planet,Ice Giant,4,2025-11-18 04:39:51.488695
18,53,Planet,Terrestrial,2,2025-11-24 18:06:10.789518
19,52,Moon,Earth,2,2025-12-02 10:14:19.986656
20,46,Planet,Gas Giant,2,2025-12-07 12:29:09.717943
21,65,Planet,Gas Giant,2,2025-11-18 17:34:56.551118
22,81,Star,A,3,2025-10-09 19:44:26.035619
23,35,Star,K,3,2025-12-03 03:43:23.674244
24,6,Planet,Gas Giant,5,2025-11-14 18:52:10.767093
25,79,Planet,Ice Giant,4,2025-11-17 05:45:37.887367
26,93,Moon,Uranus,4,2025-10-31 11:26:39.332721
27,97,Planet,Ice Giant,5,2025-12-07 01:33:02.028770
28,98,Moon,Pluto,4,2025-11-23 11:21:13.018066
29,94,Planet,Gas Giant,3,2025-11-22 07:52:54.322133
30,82,Planet,Terrestrial,5,2025-11-07 07:31:46.689761
31,101,Moon,Saturn,2,2025-11-09 13:05:47.189981
32,37,Moon,Makemake,3,2025-12-06 11:44:50.253493
33,91,Planet,Gas Giant,3,2025-11-13 00:43:04.974843
34,31,Planet,Gas Giant,3,2025-11-25 18:46:34.088043
35,74,Star,O,3,2025-12-08 18:16:46.636370
36,62,Star,F,4,2025-12-02 10:07:03.171794
37,48,Planet,Dwarf Planet,3,2025-10-23 15:12:11.276993
38,22,Star,K,1,2025-11-17 17:28:46.809316
39,67,Moon,Saturn,2,2025-11-12 03:37:35.491304
40,116,Star,G,3,2025-12-08 21:19:03.671666
41,106,Star,K,5,2025-12-03 09:06:00.452230
42,55,Planet,Dwarf Planet,5,2025-10-26 03:44:44.800841
43,70,Moon,Haumea,1,2025-11-16 00:26:11.471916
44,76,Star,A,1,2025-12-08 03:09:26.423800
45,93,Star,A,3,2025-12-02 00:42:13.619201
46,77,Planet,Dwarf Planet,3,2025-12-03 16:09:15.927441
47,36,Planet,Terrestrial,5,2025-11-03 20:05:07.644793
48,1,Planet,Gas Giant,1,2025-11-29 09:36:48.780507
49,81,Moon,Neptune,4,2025-11-13 16:53:41.941113
50,41,Moon,Neptune,4,2025-11-27 06:11:36.422466
51,70,Star,O,3,2025-11-05 01:44:05.233097
52,56,Planet,Gas Giant,4,2025-12-06 13:36:56.521217
53,112,Planet,Ice Giant,3,2025-11-09 01:42:25.069664
54,6,Star,A,2,2025-12-01 01:43:40.448264
55,102,Moon,Haumea,5,2025-11-29 18:41:37.085579
56,59,Star,M,3,2025-11-02 22:51:06.654217
57,17,Planet,Dwarf Planet,2,2025-12-02 01:55:21.504400
58,45,Star,O,4,2025-11-17 18:29:39.610191
59,2,Planet,Terrestrial,3,2025-11-16 22:46:34.611896
60,32,Moon,Pluto,5,2025-11-26 11:08:23.304474
61,26,Planet,Dwarf Planet,4,2025-11-13 18:48:34.629201
62,43,Star,G,3,2025-12-06 07:03:30.780981
63,81,Moon,Neptune,2,2025-11-23 00:30:54.928288
64,120,Planet,Ice Giant,4,2025-11-19 09:08:26.172804
65,65,Star,F,4,2025-11-14 16:56:41.662258
66,57,Star,G,4,2025-11-23 23:02:14.685088
67,25,Star,M,1,2025-12-02 05:38:44.207712
68,33,Planet,Ice Giant,2,2025-11-13 03:11:44.073716
69,67,Planet,Dwarf Planet,5,2025-12-02 15:30:27.473603
70,11,Planet,Dwarf Planet,4,2025-12-03 00:57:07.509244
71,69,Moon,Neptune,2,2025-12-01 07:52:45.920882
72,50,Planet,Gas Giant,5,2025-11-25 00:05:30.910982
73,54,Planet,Gas Giant,5,2025-12-01 07:33:46.639608
74,31,Planet,Terrestrial,1,2025-11-14 01:55:24.243200
75,9,Star,O,2,2025-11-22 03:03:19.788473
76,83,Star,K,3,2025-11-12 04:13:56.241534
77,82,Planet,Ice Giant,5,2025-11-17 08:03:16.089355
78,78,Planet,Gas Giant,3,2025-11-21 22:20:17.194676
79,14,Moon,Makemake,3,2025-11-26 01:25:59.441324
80,41,Planet,Ice Giant,3,2025-11-25 15:35:21.566559
81,48,Star,B,3,2025-12-07 05:09:53.843368
82,1,Planet,Gas Giant,4,2025-11-29 03:16:08.812842
83,18,Moon,Neptune,5,2025-11-30 11:12:39.471063
84,105,Planet,Ice Giant,1,2025-12-07 23:58:30.744255
85,35,Planet,Ice Giant,2,2025-11-29 03:24:07.286648
86,60,Planet,Dwarf Planet,5,2025-11-29 11:54:23.256746
87,95,Star,A,4,2025-11-14 04:57:54.101979
88,56,Star,F,3,2025-11-29 15:20:54.944650
89,52,Planet,Ice Giant,4,2025-12-03 18:54:49.367600
90,61,Star,G,1,2025-11-28 22:29:03.070032
91,67,Star,K,1,2025-12-05 08:08:31.145427
92,35,Star,K,5,2025-12-01 08:14:44.516742
93,54,Star,O,3,2025-11-17 17:23:36.370661
94,26,Planet,Gas Giant,3,2025-11-26 06:52:05.102907
95,4,Moon,Pluto,5,2025-12-08 13:24:50.763787
96,13,Star,G,3,2025-12-03 03:17:32.681779
97,56,Moon,Haumea,4,2025-11-25 23:14:44.242553
98,54,Moon,Haumea,4,2025-12-07 03:24:59.521339
99,59,Star,O,3,2025-11-20 11:30:36.492362
100,102,Moon,Haumea,5,2025-11-07 18:13:23.495572
101,70,Star,G,1,2025-11-29 10:02:36.560376
102,113,Planet,Terrestrial,4,2025-12-07 04:40:28.889638
103,58,Star,K,3,2025-12-04 14:03:28.233385
104,82,Star,F,3,2025-11-29 20:41:35.508509
105,106,Planet,Ice Giant,5,2025-12-05 21:24:23.085790
106,10,Star,B,1,2025-11-26 13:49:01.856245
107,13,Moon,Earth,2,2025-12-07 14:54:35.909346
108,87,Star,B,4,2025-12-07 05:56:37.284445
109,16,Planet,Ice Giant,5,2025-12-03 00:04:25.174109
110,33,Star,M,5,2025-12-04 05:30:26.701604
111,91,Star,G,5,2025-11-19 10:52:24.836682
112,67,Star,M,3,2025-11-18 20:41:05.215455
113,63,Star,A,3,2025-10-31 15:52:13.679269
114,92,Star,A,5,2025-10-15 00:21:39.266701
115,59,Moon,Pluto,5,2025-11-25 00:41:46.388028
116,64,Planet,Terrestrial,3,2025-12-07 07:02:42.599321
117,49,Planet,Ice Giant,4,2025-12-08 12:18:29.471362
118,91,Planet,Terrestrial,4,2025-12-02 08:33:38.254849
119,53,Star,K,4,2025-12-01 17:05:51.073272
120,102,Moon,Haumea,4,2025-12-08 15:36:14.428962
121,29,Moon,Makemake,1,2025-11-20 08:27:24.222324
122,42,Planet,Ice Giant,5,2025-11-28 20:37:43.880307
123,44,Star,M,1,2025-11-22 16:45:46.306086
124,98,Moon,Neptune,5,2025-12-07 02:49:08.493375
125,14,Moon,Pluto,5,2025-12-05 07:29:01.742570
126,68,Planet,Gas Giant,3,2025-11-14 21:22:39.999945
127,2,Planet,Dwarf Planet,3,2025-11-19 16:44:40.340983
128,68,Planet,Dwarf Planet,4,2025-12-07 04:27:15.663720
129,83,Star,K,1,2025-11-18 06:36:49.966359
130,108,Planet,Ice Giant,3,2025-12-08 12:48:43.661976
131,69,Moon,Pluto,3,2025-11-29 16:45:16.298081
132,3,Planet,Dwarf Planet,1,2025-12-07 02:46:20.998576
133,43,Planet,Gas Giant,3,2025-10-26 18:07:30.478469
134,46,Moon,Earth,2,2025-10-21 19:33:22.581748
135,64,Star,F,4,2025-11-26 00:37:11.846893
136,84,Planet,Gas Giant,2,2025-12-04 10:58:04.100265
137,28,Moon,Pluto,4,2025-12-02 08:52:49.114343
138,46,Planet,Gas Giant,3,2025-12-06 04:51:50.992958
139,96,Moon,Makemake,2,2025-10-20 02:32:36.023310
140,16,Planet,Gas Giant,5,2025-12-07 02:41:54.794445
141,62,Star,G,2,2025-11-22 15:22:22.392306
142,66,Planet,Ice Giant,5,2025-10-15 23:05:01.939735
143,22,Planet,Dwarf Planet,1,2025-11-25 14:19:20.354570
144,38,Star,A,5,2025-12-07 17:44:11.300232
145,112,Moon,Uranus,3,2025-10-17 03:16:34.192810
146,1,Moon,Mars,2,2025-11-23 20:43:23.724423
147,51,Planet,Gas Giant,4,2025-11-14 19:44:29.516964
148,51,Moon,Mars,2,2025-11-30 05:05:38.841712
149,8,Star,B,1,2025-12-07 22:27:42.799680
150,48,Star,B,2,2025-11-16 08:26:33.876267
151,42,Star,K,3,2025-11-07 13:02:19.339430
152,10,Star,K,4,2025-11-10 01:14:15.479105
153,58,Star,G,2,2025-12-01 02:00:41.635558
154,7,Star,M,2,2025-11-29 01:42:49.723856
155,51,Moon,Eris,2,2025-12-01 04:56:50.490688
156,112,Planet,Ice Giant,4,2025-11-01 02:40:35.629034
157,25,Star,M,5,2025-12-07 07:53:15.237077
158,12,Star,K,4,2025-12-02 16:11:45.387449
159,97,Star,M,2,2025-12-03 02:05:34.021680
160,102,Star,G,2,2025-12-08 01:13:28.014499
161,17,Planet,Gas Giant,4,2025-11-29 14:33:35.476354
162,109,Planet,Terrestrial,5,2025-10-09 16:44:26.046620
163,27,Star,F,4,2025-12-01 00:36:18.493724
164,79,Planet,Gas Giant,5,2025-11-29 07:59:00.094316
165,9,Planet,Dwarf Planet,3,2025-11-26 02:55:43.368690
166,117,Moon,Uranus,3,2025-11-21 18:18:26.886516
167,26,Star,F,2,2025-12-05 16:35:33.007532
168,10,Planet,Gas Giant,3,2025-11-16 01:54:56.481552
169,66,Star,F,4,2025-12-04 19:21:22.074197
