Interaction_ID,User_ID,Object_Type,Object_ID,Interaction_Type,Interaction_Rating,Timestamp
1,10,Moon,79,View,,2025-10-27 14:24:22.944331
2,6,Planet,47,View,,2025-11-17 18:42:21.193449
3,31,Star,52,View,,2025-10-27 22:54:05.245487
4,76,Moon,92,View,,2025-11-14 04:45:09.154196
5,75,Planet,36,View,,2025-11-08 22:50:31.860243
6,5,Moon,77,View,,2025-11-13 09:23:45.864309
7,44,Star,32,View,,2025-10-29 18:52:50.510653
8,13,Planet,90,View,,2025-11-02 12:30:33.992633
9,59,Star,84,Click,,2025-11-16 08:15:52.881863
10,62,Star,107,Click,,2025-10-21 09:51:02.672081
11,17,Star,187,Click,,2025-11-17 01:53:35.762390
12,7,Moon,8,View,,2025-10-18 16:00:26.599524
13,61,Star,75,Click,,2025-11-15 17:43:32.035287
14,36,Moon,19,View,,2025-11-16 02:36:41.333598
15,64,Star,121,View,,2025-11-14 05:05:26.545841
16,5,Moon,72,View,,2025-11-15 08:18:18.481428
17,62,Star,107,View,,2025-11-11 22:03:41.348303
18,4,Moon,51,View,,2025-10-29 18:33:05.872816
19,71,Moon,25,Click,,2025-10-20 11:06:25.986047
20,56,Star,106,Favorite,,2025-11-17 15:05:54.751033
21,70,Moon,78,View,,2025-11-09 06:14:46.861161
22,74,Star,24,View,,2025-11-03 03:38:20.647976
23,60,Moon,62,View,,2025-10-24 14:25:55.204477
24,80,Moon,1,Click,,2025-11-03 16:58:59.590631
25,30,Planet,10,View,,2025-11-13 20:05:56.475976
26,83,Planet,75,Rate,5.0,2025-11-11 12:40:10.682184
27,89,Moon,78,View,,2025-11-05 15:16:44.249067
28,45,Star,85,View,,2025-11-17 10:53:52.629033
29,13,Moon,12,View,,2025-11-15 18:01:24.031886
30,98,Star,107,Click,,2025-11-16 05:54:57.589288
31,8,Star,191,View,,2025-11-08 20:03:53.106034
32,36,Moon,31,View,,2025-11-07 08:15:33.875785
33,9,Star,117,Favorite,,2025-11-06 18:06:18.018937
34,99,Moon,8,Favorite,,2025-11-11 20:59:37.079412
35,26,Star,80,View,,2025-11-17 10:07:30.726148
36,61,Star,75,View,,2025-11-16 21:06:49.622249
37,88,Planet,82,Click,,2025-11-05 06:26:26.637034
38,57,Planet,34,View,,2025-11-17 04:05:37.886923
39,11,Moon,28,View,,2025-11-06 18:55:29.522370
40,69,Moon,14,Click,,2025-11-10 15:36:36.514367
41,46,Moon,16,View,,2025-11-08 21:32:20.164024
42,9,Star,18,View,,2025-11-10 17:39:09.188385
43,78,Star,56,View,,2025-11-13 22:29:41.981382
44,13,Star,46,View,,2025-10-30 23:56:36.227081
45,14,Star,128,Favorite,,2025-11-04 11:41:10.899500
46,28,Planet,64,View,,2025-11-14 16:52:20.322110
47,67,Planet,86,Click,,2025-11-13 17:27:25.396010
48,82,Moon,59,View,,2025-11-16 04:51:01.541621
49,57,Moon,93,Favorite,,2025-11-13 12:22:50.122856
50,11,Moon,28,View,,2025-11-07 16:49:49.843344
51,63,Moon,14,View,,2025-11-16 14:31:59.602185
52,92,Moon,75,Favorite,,2025-11-12 17:45:37.143223
53,26,Star,80,View,,2025-11-13 18:38:07.720076
54,37,Star,27,Favorite,,2025-10-26 20:49:25.795791
55,59,Star,84,Favorite,,2025-11-17 04:17:00.069228
56,51,Moon,96,View,,2025-11-17 22:53:12.864755
57,38,Star,57,Favorite,,2025-11-04 19:40:35.807237
58,2,Planet,72,Click,,2025-11-01 13:49:07.337668
59,88,Star,186,Click,,2025-11-01 23:12:31.516474
60,75,Star,175,Favorite,,2025-11-10 08:59:03.746322
61,9,Star,150,Click,,2025-11-08 16:35:55.650641
62,76,Moon,6,Click,,2025-11-11 12:50:42.303986
63,75,Planet,55,View,,2025-11-15 14:03:57.470094
64,29,Moon,34,Click,,2025-11-05 14:32:50.674601
65,16,Star,9,View,,2025-11-12 22:49:49.767511
66,22,Planet,11,View,,2025-10-27 04:36:05.852767
67,46,Star,66,Rate,3.0,2025-11-12 09:13:43.390399
68,43,Star,16,Rate,3.0,2025-10-20 08:37:33.029508
69,24,Planet,69,Rate,5.0,2025-10-21 10:56:59.790002
70,67,Moon,81,View,,2025-11-11 10:55:10.166152
71,64,Star,85,Favorite,,2025-11-15 23:36:36.250398
72,83,Star,168,View,,2025-11-11 11:08:46.026513
73,17,Star,100,Click,,2025-11-14 09:23:01.034497
74,100,Planet,64,Click,,2025-11-03 19:59:09.285474
75,85,Star,161,Favorite,,2025-11-14 22:24:45.272505
76,74,Planet,20,Click,,2025-11-17 17:31:51.031677
77,81,Star,114,View,,2025-11-12 08:08:35.192864
78,6,Moon,7,View,,2025-10-21 23:17:12.044602
79,85,Star,176,Favorite,,2025-11-15 19:15:38.275209
80,56,Planet,36,Click,,2025-11-01 10:17:58.688512
81,4,Planet,49,View,,2025-11-12 03:03:23.592945
82,51,Star,78,View,,2025-11-10 19:01:06.956991
83,4,Moon,44,Click,,2025-11-06 22:43:39.918878
84,43,Star,16,Rate,5.0,2025-11-13 23:34:14.392206
85,38,Star,48,Click,,2025-11-16 23:24:53.494602
86,25,Moon,98,Rate,5.0,2025-11-15 02:11:57.472138
87,75,Moon,36,Click,,2025-10-18 19:11:26.607841
88,42,Planet,7,View,,2025-11-07 10:37:41.663938
89,82,Planet,45,Favorite,,2025-11-14 02:39:22.849180
90,2,Star,101,View,,2025-11-05 00:30:57.197170
91,64,Moon,88,Favorite,,2025-11-08 11:01:25.068088
92,76,Star,113,Click,,2025-10-18 23:23:26.607841
93,26,Star,143,View,,2025-11-16 16:47:56.264167
94,19,Star,189,Click,,2025-11-11 07:22:19.552314
95,81,Planet,15,View,,2025-11-10 01:50:49.608996
96,36,Star,200,Click,,2025-11-06 21:47:37.608983
97,82,Planet,81,View,,2025-11-06 07:06:48.637184
98,92,Planet,39,Click,,2025-11-15 11:31:57.498622
99,63,Planet,36,Click,,2025-11-10 06:18:14.680096
100,50,Planet,22,Rate,4.0,2025-11-07 09:50:16.956248
101,14,Moon,44,Click,,2025-11-11 01:50:02.286164
102,3,Star,163,Click,,2025-11-07 19:56:37.820703
103,4,Planet,47,Click,,2025-11-13 14:02:14.991130
104,8,Star,164,Favorite,,2025-11-05 22:14:36.728915
105,18,Moon,11,View,,2025-11-13 09:47:56.574754
106,87,Moon,68,Click,,2025-11-14 07:37:50.650891
107,6,Planet,60,Click,,2025-11-07 23:11:29.479470
108,49,Planet,12,Click,,2025-11-04 08:53:59.568730
109,31,Star,60,View,,2025-11-15 01:50:01.667617
110,24,Star,57,Rate,4.0,2025-11-12 15:57:07.740290
111,20,Moon,33,Click,,2025-10-31 19:55:54.838275
112,96,Star,122,View,,2025-11-17 09:29:06.796076
113,16,Star,181,Click,,2025-11-03 07:38:56.198315
114,96,Planet,6,View,,2025-11-12 09:17:20.196188
115,16,Star,9,Click,,2025-11-16 18:19:49.160791
116,31,Star,60,Click,,2025-11-07 13:57:04.767757
117,34,Moon,33,View,,2025-11-17 18:15:12.699756
118,68,Planet,14,View,,2025-11-17 06:12:10.593685
119,45,Planet,70,View,,2025-11-15 01:49:27.154176
120,54,Planet,61,View,,2025-11-07 03:36:45.108529
121,32,Star,150,View,,2025-11-14 21:50:15.682992
122,13,Star,168,Click,,2025-11-18 04:38:36.943572
123,27,Moon,2,Click,,2025-11-15 03:07:17.893165
124,34,Moon,63,View,,2025-11-13 12:41:21.768370
125,19,Planet,94,Click,,2025-11-09 14:09:32.891797
126,33,Star,144,View,,2025-11-16 01:11:48.492603
127,79,Star,5,Favorite,,2025-11-15 06:10:18.586088
128,39,Planet,14,Favorite,,2025-10-19 13:34:26.610841
129,29,Moon,93,Click,,2025-11-15 07:16:42.254919
